Hydrogen,H,-15.5447731,-15.01449776,Nonmetal
Helium,He,-17.98924828,-8.743183136,Noble Gas
Lithium,Li,0.35769277811050415,-1.789281964,Alkali Metal
Beryllium,Be,2.293985366821289,-1.506054521,Alkaline Earth Metal
Boron,B,-0.96938616,-2.040119886,Metalloid
Carbon,C,-1.498084784,-5.716629982,Nonmetal
Nitrogen,N,-10.60411263,-4.137500286,Nonmetal
Oxygen,O,-10.70947075,-4.180105686,Nonmetal
Fluorine,F,-12.391325,-4.741657257,Halogen
Neon,Ne,-14.74079132,-5.367966175,Noble Gas
Sodium,Na,1.1791987419128418,0.39854666590690613,Alkali Metal
Magnesium,Mg,1.8295478820800781,0.084084004,Alkaline Earth Metal
Aluminum,Al,2.147756338119507,0.16547074913978577,Metal
Silicon,Si,-1.036888361,-1.154560685,Metalloid
Phosphorus,P,-4.986277103,-1.707121015,Nonmetal
Sulfur,S,-5.05496788,-1.70617187,Nonmetal
Chlorine,Cl,-9.535495758,-2.545823812,Halogen
Argon,Ar,-11.01271248,-3.164268494,Noble Gas
Potassium,K,-0.546522677,1.678740382194519,Alkali Metal
Calcium,Ca,1.8764746189117432,0.7771608829498291,Alkaline Earth Metal
Scandium,Sc,2.504074811935425,0.6535395383834839,Transition Metal
Titanium,Ti,2.7182536125183105,0.45100757479667664,Transition Metal
Vanadium,V,2.8706846237182617,0.42214319109916687,Transition Metal
Chromium,Cr,2.675851583480835,0.5310455560684204,Transition Metal
Manganese,Mn,2.293943405151367,0.7645206451416016,Transition Metal
Iron,Fe,2.6090822219848633,0.6323074102401733,Transition Metal
Cobalt,Co,2.6009466648101807,0.8040462732315063,Transition Metal
Nickel,Ni,2.611865282058716,0.672360897,Transition Metal
Copper,Cu,2.4054203033447266,0.8440299034118652,Transition Metal
Zinc,Zn,1.705000638961792,1.2369712591171265,Transition Metal
Gallium,Ga,1.9216969013214111,1.219913363456726,Metal
Germanium,Ge,-1.859587908,0.5495684146881104,Metalloid
Arsenic,As,-2.938720465,0.3245319426059723,Metalloid
Selenium,Se,-4.530796051,0.1830214560031891,Nonmetal
Bromine,Br,-6.694272041,-0.211977452,Halogen
Krypton,Kr,-10.39124012,-0.951831698,Noble Gas
Rubidium,Rb,-1.384901047,3.1547086238861084,Alkali Metal
Strontium,Sr,1.8347032070159912,1.8155609369277954,Alkaline Earth Metal
Yttrium,Y,2.6094677448272705,1.5904457569122314,Transition Metal
Zirconium,Zr,3.016648530960083,1.4428561925888062,Transition Metal
Niobium,Nb,3.3319385051727295,1.4383777379989624,Transition Metal
Molybdenum,Mo,3.4051051139831543,1.3214236497879028,Transition Metal
Technetium,Tc,7.984601020812988,2.1284122467041016,Transition Metal
Ruthenium,Ru,3.1954236030578613,1.3432488441467285,Transition Metal
Rhodium,Rh,2.9721243381500244,1.543427586555481,Transition Metal
Palladium,Pd,2.6212873458862305,1.7747364044189453,Transition Metal
Silver,Ag,2.1840803623199463,2.1512022018432617,Transition Metal
Cadmium,Cd,1.627629280090332,2.257539987564087,Transition Metal
Indium,In,1.847813367843628,2.5760679244995117,Metal
Tin,Sn,2.0613298416137695,2.353888988494873,Metal
Antimony,Sb,-2.920421362,2.1724653244018555,Metalloid
Tellurium,Te,-3.29642415,2.1448779106140137,Metalloid
Iodine,I,-5.404606819,1.394135833,Halogen
Xenon,Xe,-9.748958588,0.8148486614227295,Noble Gas
Cesium,Cs,-2.070861578,4.272374629974365,Alkali Metal
Barium,Ba,1.9325571060180664,2.801239252090454,Alkaline Earth Metal
Hafnium,Hf,3.3606674671173096,3.202998161315918,Transition Metal
Tantalum,Ta,3.849715471,3.2817862033843994,Transition Metal
Wolfram,W,4.014864444732666,3.589961528778076,Transition Metal
Rhenium,Re,3.9547863006591797,3.553697347640991,Transition Metal
Osmium,Os,3.778029203414917,3.6791908740997314,Transition Metal
Iridium,Ir,3.3538498878479004,4.3671417236328125,Transition Metal
Platinum,Pt,2.9088926315307617,5.181576728820801,Transition Metal
Gold,Au,2.493696928024292,4.556891441345215,Transition Metal
Mercury,Hg,1.3360860347747803,6.268989086151123,Transition Metal
Thallium,Tl,1.8399384021759033,5.513044834136963,Metal
Lead,Pb,1.9180209636688232,5.774735927581787,Metal
Bismuth,Bi,1.9607913494110107,5.119087219238281,Metal
Polonium,Po,-4.875311852,5.4399189949035645,Metalloid
Radon,Rn,-12.48274612,9.948032379,Alkali Metal
