Hydrogen,H,Nonmetal,8.61552619934082,3.4994711875915527,11.81948184967041
Helium,He,Noble Gas,8.782630920410156,-2.897153854370117,10.888495445251465
Lithium,Li,Alkali Metal,4.122300624847412,4.685530662536621,0.5270124077796936
Beryllium,Be,Alkaline Earth Metal,2.898397922515869,2.3555009365081787,0.6275704503059387
Boron,B,Metalloid,-0.034781813621520996,-2.5721373558044434,1.067592740058899
Carbon,C,Nonmetal,1.183394432067871,0.9583536982536316,0.2568708062171936
Nitrogen,N,Nonmetal,9.304801940917969,-2.31782603263855,6.860044956207275
Oxygen,O,Nonmetal,9.235530853271484,-2.847961902618408,6.941779136657715
Fluorine,F,Halogen,9.162500381469727,-3.853978395462036,7.74816370010376
Neon,Ne,Noble Gas,9.167396545410156,-4.980114936828613,8.782944679260254
Sodium,Na,Alkali Metal,4.708837985992432,3.4773802757263184,-0.6889552474021912
Magnesium,Mg,Alkaline Earth Metal,4.073554992675781,2.1498050689697266,-0.051820702850818634
Aluminum,Al,Metal,3.746204376220703,2.254901885986328,-0.681506335735321
Silicon,Si,Metalloid,0.8150962591171265,-3.1892096996307373,0.5555948615074158
Phosphorus,P,Nonmetal,4.3983001708984375,0.3972187638282776,1.330747365951538
Sulfur,S,Nonmetal,4.266000747680664,-0.1236148476600647,1.4699487686157227
Chlorine,Cl,Halogen,9.631813049316406,-2.480618953704834,5.755749225616455
Argon,Ar,Noble Gas,9.664285659790039,-3.213052749633789,6.3136305809021
Potassium,K,Alkali Metal,5.428324222564697,3.683938980102539,-1.6834754943847656
Calcium,Ca,Alkaline Earth Metal,4.505903720855713,2.3834047317504883,-1.2726612091064453
Scandium,Sc,Transition Metal,3.7382473945617676,2.1726341247558594,-1.674018383026123
Titanium,Ti,Transition Metal,3.4651875495910645,2.098339319229126,-1.772170066833496
Vanadium,V,Transition Metal,3.245190143585205,1.8657326698303223,-1.805163860321045
Chromium,Cr,Transition Metal,3.44832706451416,1.7011585235595703,-1.5651984214782715
Manganese,Mn,Transition Metal,3.852992534637451,1.1862993240356445,-1.0588927268981934
Iron,Fe,Transition Metal,3.448744297027588,1.0483217239379883,-1.2314457893371582
Cobalt,Co,Transition Metal,3.4668798446655273,0.829698383808136,-1.229950189590454
Nickel,Ni,Transition Metal,3.423938274383545,0.7914442420005798,-1.2117488384246826
Copper,Cu,Transition Metal,3.7021212577819824,0.6673431992530823,-1.1532073020935059
Zinc,Zn,Transition Metal,4.4307332038879395,0.17260414361953735,-0.3336791396141052
Gallium,Ga,Metal,4.472733974456787,0.835576593875885,-1.3455848693847656
Germanium,Ge,Metalloid,1.7999582290649414,-3.8763418197631836,-0.2085392028093338
Arsenic,As,Metalloid,2.2113256454467773,-4.757381916046143,0.7063375115394592
Selenium,Se,Nonmetal,4.561993598937988,-1.0742545127868652,0.2121477574110031
Bromine,Br,Halogen,5.431029796600342,-2.0321030616760254,1.1009125709533691
Krypton,Kr,Noble Gas,10.083961486816406,-4.06757926940918,5.058799743652344
Rubidium,Rb,Alkali Metal,5.931975841522217,2.658719778060913,-2.754150390625
Strontium,Sr,Alkaline Earth Metal,5.073968410491943,1.7853147983551025,-2.5465145111083984
Yttrium,Y,Transition Metal,4.080602169036865,1.431244134902954,-2.923313856124878
Zirconium,Zr,Transition Metal,3.5699667930603027,1.2138330936431885,-3.110649824142456
Niobium,Nb,Transition Metal,3.128237247467041,0.9348717331886292,-3.19950270652771
Molybdenum,Mo,Transition Metal,3.002689838409424,0.8511553406715393,-3.1853363513946533
Technetium,Tc,Transition Metal,1.2135186195373535,-2.934014081954956,-2.3061752319335938
Ruthenium,Ru,Transition Metal,3.232987880706787,0.6468921303749084,-2.9859702587127686
Rhodium,Rh,Transition Metal,3.4500460624694824,0.24035316705703735,-2.6927924156188965
Palladium,Pd,Transition Metal,3.848860263824463,-0.052473247051239014,-2.299776554107666
Silver,Ag,Transition Metal,4.367423057556152,-0.5880352854728699,-1.8895769119262695
Cadmium,Cd,Transition Metal,4.98326301574707,-0.6439023613929749,-1.4171957969665527
Indium,In,Metal,4.9629998207092285,-0.4144262671470642,-2.232409954071045
Tin,Sn,Metal,4.594385147094727,-0.9259310364723206,-2.0696377754211426
Antimony,Sb,Metalloid,2.919933319091797,-4.775508403778076,-0.7928532958030701
Tellurium,Te,Metalloid,3.1371421813964844,-5.140392303466797,-0.540986955165863
Iodine,I,Halogen,5.150156497955322,-2.0796122550964355,-0.5989426970481873
Xenon,Xe,Noble Gas,10.519481658935547,-4.424404621124268,3.567229747772217
Cesium,Cs,Alkali Metal,6.444995403289795,2.168386459350586,-3.995194911956787
Barium,Ba,Alkaline Earth Metal,5.483360767364502,1.181412696838379,-3.908090114593506
Hafnium,Hf,Transition Metal,3.6887874603271484,0.19017237424850464,-5.165174961090088
Tantalum,Ta,Transition Metal,3.030592918395996,-0.11331862211227417,-5.3409600257873535
Wolfram,W,Transition Metal,2.7503550052642822,-0.46680977940559387,-5.312014579772949
Rhenium,Re,Transition Metal,2.8450794219970703,-0.5820530652999878,-5.260709762573242
Osmium,Os,Transition Metal,3.001877784729004,-0.8457802534103394,-5.00182580947876
Iridium,Ir,Transition Metal,3.4657235145568848,-1.301073670387268,-4.555613994598389
Platinum,Pt,Transition Metal,3.950155735015869,-1.8434913158416748,-4.129242420196533
Gold,Au,Transition Metal,4.478805065155029,-1.8651537895202637,-3.7596168518066406
Mercury,Hg,Transition Metal,6.351125240325928,-2.7624874114990234,-2.565173625946045
Thallium,Tl,Metal,5.437926769256592,-1.5320448875427246,-4.012515544891357
